powertools.alerts                              recive admin's alerts
powertools.player.knockback                    give players velocity
powertools.player.fall                         give players fall damage
powertools.player.freeze                       freeze players
powertools.player.rotate                       make player's head rotate
powertools.player.hide                         vanish players
powertools.player.cps.lmb                      check player's LMB CPS
powertools.player.cps.rmb                      check player's RMB CPS
powertools.player.cps                          check player's RMB & LMB CPS
powertools.player.playtime                     get player's playtime
powertools.kits.create                         create kits
powertools.kits.list                           show a list with created kits
powertools.kits.delete                         remove kit
powertools.player.freeze.chat                  recive frozen player's chat
powertools.help                                get help
PowerTools.INSTANCE.reload                       reload plugin's data
powertools.player.protect                      protect player from damage
